DEBUG 2016-12-14 14:48:22,272 13747ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-12-14 14:57:16,912   756ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-04 17:41:10,015 13183ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-04 20:09:07,243  2527ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-04 22:19:51,039  3472ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-05 14:37:13,922  7157ms Global                 Application_Start  - Site Starting Debug....
ERROR 2017-01-05 14:38:04,737 57973ms AccountController      LogIn              - The underlying provider failed on Open.
ERROR 2017-01-05 14:38:37,562 90798ms AccountController      LogIn              - The underlying provider failed on Open.
ERROR 2017-01-05 14:39:38,559 151794ms AccountController      LogIn              - The underlying provider failed on Open.
DEBUG 2017-01-05 15:33:55,696   632ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-05 15:40:30,247  1071ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-05 16:07:38,451   541ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-05 19:09:24,464  3965ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-05 19:12:05,427  2556ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-05 19:15:41,488   422ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-05 20:22:36,027   566ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-05 20:39:04,657   836ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-05 21:37:27,729  6925ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-06 14:13:54,540  2750ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-06 14:40:27,100  3310ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-06 14:52:17,863   586ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-06 14:57:28,315   459ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-06 15:03:15,285  1891ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-06 15:20:27,121   495ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-06 15:25:00,808   529ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-06 15:37:15,446   517ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-06 15:44:43,679  3883ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-06 15:48:49,456  1901ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-06 15:49:40,440   834ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-06 15:56:11,773  1081ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-06 15:59:09,088   576ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-06 16:03:55,283  1072ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-06 16:07:07,171  1028ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-06 17:01:52,297 12663ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-06 18:45:25,266  1985ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-06 20:48:53,417  1238ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-06 22:29:14,040   660ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-07 05:55:35,600  1801ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-07 14:28:03,123   754ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-07 14:59:13,657   590ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-07 15:36:50,556  6485ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-07 15:38:58,220  9127ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-07 15:44:58,662  1601ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-07 15:45:54,517   793ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-07 15:47:17,306  3134ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-07 15:59:23,931  4253ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-07 16:08:44,038  1224ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-07 16:27:12,674  2695ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-08 15:09:23,194  3227ms Global                 Application_Start  - Site Starting Debug....
ERROR 2017-01-08 15:14:31,570 311603ms AccountController      LogIn              - The underlying provider failed on Open.
DEBUG 2017-01-09 11:15:03,141 11414ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-09 12:28:29,771  4973ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-09 12:46:09,453  7983ms Global                 Application_Start  - Site Starting Debug....
ERROR 2017-01-09 18:56:53,945  7724ms Global                 Application_Start  - The route template '/api/alert/setacknowledged' on the action named 'SetAcknowledged' cannot start with a '/' character.
